     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      1505,       557,         0,   137.0,bplsd_r12_w13_c1_hx72,47208ab238ec1bf6d2ff33b8a8c4fe26054be97c047436e1ecd1ef02ce22d712,"{""code"":""BB_n144_k12"",""commit"":1,""d"":12,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":0,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.006,""rounds"":12,""window"":13,""z_basis"":""True""}",
 100000000,        41,         0,438002.8,bplsd_r12_w13_c1_hx72,f8c1459ed2e11dbb09e7962bf14db4cd281276fe8bf75ffe1db55fa1983be151,"{""code"":""BB_n144_k12"",""commit"":1,""d"":12,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":64,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.0006,""rounds"":12,""window"":13,""z_basis"":""True""}",
  99489968,       432,         0,575009.3,bplsd_r12_w13_c1_hx72,e623833515a527f9af4d2a37c3f22e34584f6e72b3f5935ac2eb5a614c286dc5,"{""code"":""BB_n144_k12"",""commit"":1,""d"":12,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":64,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.001,""rounds"":12,""window"":13,""z_basis"":""True""}",
   2086373,       504,         0, 21454.0,bplsd_r12_w13_c1_hx72,83a9d1e83a0da5d6419918b5e1dda86f32b07b5fc430825d3c585bb329f0ddbb,"{""code"":""BB_n144_k12"",""commit"":1,""d"":12,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":64,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.002,""rounds"":12,""window"":13,""z_basis"":""True""}",
    139112,       515,         0,  1429.1,bplsd_r12_w13_c1_hx72,ce413c24d1f2829ae5c8bbbd71ca511fa2d3257341019681757d70f961a235ca,"{""code"":""BB_n144_k12"",""commit"":1,""d"":12,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":64,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.003,""rounds"":12,""window"":13,""z_basis"":""True""}",
     18963,       549,         0,   356.9,bplsd_r12_w13_c1_hx72,84d3c54e71e42ed18409f8e80613dd6ed3bdf20317ed474e1cb583f48571ccd0,"{""code"":""BB_n144_k12"",""commit"":1,""d"":12,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":64,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.004,""rounds"":12,""window"":13,""z_basis"":""True""}",
      4332,       545,         0,   181.4,bplsd_r12_w13_c1_hx72,da29d2d096387737917b58d54b1180fef4d9e6c042d4a4f3e42caba1a30bbc65,"{""code"":""BB_n144_k12"",""commit"":1,""d"":12,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":64,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.005,""rounds"":12,""window"":13,""z_basis"":""True""}",
      1634,       547,         0,   164.8,bplsd_r12_w13_c1_hx72,6809850509c04d844484a4f56a29d87bf6298dcc470c587e2f3dae180ed4fe77,"{""code"":""BB_n144_k12"",""commit"":1,""d"":12,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":64,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.006,""rounds"":12,""window"":13,""z_basis"":""True""}",
 100000000,        27,         0,460928.7,bplsd_r12_w13_c1_hx72,d12fedc97b7268a23e7bc496076ef8a4262181d3bd1a16f7df419174150afdec,"{""code"":""BB_n144_k12"",""commit"":1,""d"":12,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":128,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.0006,""rounds"":12,""window"":13,""z_basis"":""True""}",
  99486521,       310,         0,566846.1,bplsd_r12_w13_c1_hx72,7bc0d3df569df7ba927522c84ea0f25a467c63f8c56b776d403a07d2d43bd3c6,"{""code"":""BB_n144_k12"",""commit"":1,""d"":12,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":128,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.001,""rounds"":12,""window"":13,""z_basis"":""True""}",
   2770762,       507,         0, 28926.6,bplsd_r12_w13_c1_hx72,fd186d61a94ed3c31eb7024b0f6350a9d274b6917a817962c4be33d161a20e80,"{""code"":""BB_n144_k12"",""commit"":1,""d"":12,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":128,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.002,""rounds"":12,""window"":13,""z_basis"":""True""}",
    171918,       511,         0,  1868.5,bplsd_r12_w13_c1_hx72,2db61181a216c8ef3248dafa3580e80a83c1dce1ad79b795a31b4fbe99e7f584,"{""code"":""BB_n144_k12"",""commit"":1,""d"":12,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":128,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.003,""rounds"":12,""window"":13,""z_basis"":""True""}",
     25629,       561,         0,   555.0,bplsd_r12_w13_c1_hx72,cb353f3b7ae3a03b9e8dd3625f22c8966e2635d8f54c45a63e4c245f293efe64,"{""code"":""BB_n144_k12"",""commit"":1,""d"":12,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":128,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.004,""rounds"":12,""window"":13,""z_basis"":""True""}",
      5225,       538,         0,   259.2,bplsd_r12_w13_c1_hx72,3b062bafd5189ebf2984cf48019fc8d77be3836f273e0f1578a0ff0c3afe8e53,"{""code"":""BB_n144_k12"",""commit"":1,""d"":12,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":128,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.005,""rounds"":12,""window"":13,""z_basis"":""True""}",
      1653,       539,         0,   182.2,bplsd_r12_w13_c1_hx72,13ec8bd5b7486d3da65732d0d2173296839dc9502ec70b8581695e94651c9c9a,"{""code"":""BB_n144_k12"",""commit"":1,""d"":12,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":128,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.006,""rounds"":12,""window"":13,""z_basis"":""True""}",
